Id,URL,Region,Page Title,Crawling Status,Number of Cookies,Number of Requests,Last Successful Crawl,Comment
1,http://lemonde.fr,Unknown,Le Monde.fr - Actualités et Infos en France et dans le monde,Success,71,124,2026-02-04T12:26:02.640207,
1,http://leparisien.fr,Unknown,Actualités en direct et info en continu - Le Parisien,Success,70,346,2026-01-27T17:54:19.727433,
1,http://ouest-france.fr,Unknown,"Ouest-France : toute l'actualité en direct, l'info en continu en France, dans les régions et dans le monde",Success,71,263,2026-01-26T22:56:09.014078,
1,http://lequipe.fr,Unknown,L'Équipe - L'actualité du sport en continu.,Success,10,586,2026-02-06T12:55:27.085489,
1,http://actu.fr,Unknown,Mon actu | actu.fr | actu.fr,Success,74,151,2026-01-27T18:15:50.031060,
1,http://flashscore.fr,Unknown,"Foot en direct, Résultats Foot, Match en Direct Live | Flashscore.fr",Success,58,280,2026-01-27T18:25:04.191669,
1,https://liberation.fr,Unknown,Couldn’t sign you in,Success,30,197,2026-01-27T16:51:33.497407,
1,https://20minutes.fr,Unknown,20 Minutes - Toute l’actualité en direct et les dernières infos en continu,Success,69,291,2026-01-27T16:56:05.509719,
1,https://tripadvisor.fr,Unknown,Tripadvisor – Inscription,Success,21,620,2026-01-27T17:30:31.181264,
1,https://www.tripadvisor.fr,Unknown,"Tripadvisor : plus d'un milliard d'avis et de contributions sur les hôtels, les attractions, les restaurants et plus",Success,22,551,2026-01-27T18:42:50.122867,
1,https://doctissimo.fr,Unknown,Santé et bien être avec Doctissimo,Success,13,176,2026-01-29T14:34:39.484294,
1,https://louvre.fr,Unknown,Site officiel du musée du Louvre,Success,14,288,2026-01-29T14:57:26.671738,
1,https://journaldesfemmes.fr,Unknown,"Journal des Femmes : Magazine féminin mode, beauté, déco, cuisine...",Success,6,98,2026-01-29T15:04:10.690526,
1,https://letelegramme.fr,Unknown,502 Bad Gateway,Success,11,15,2026-01-29T15:18:47.211137,
1,https://midilibre.fr,Unknown,Actualités et infos de Montpellier et sa région - À la une - midilibre.fr,Success,4,137,2026-01-29T15:22:15.255192,
1,https://lepoint.fr,Unknown,Le Point – Actualités en France et dans le monde,Success,19,274,2026-01-29T20:21:28.900414,
1,https://decathlon.fr,Unknown,Complétez votre compte | Decathlon,Success,35,647,2026-02-04T12:36:36.137391,
1,https://manomano.fr,Unknown,"ManoMano : Achat en ligne bricolage, rénovation et jardinage",Success,32,646,2026-02-04T12:41:24.626948,
1,https://lindependant.fr,Unknown,Activez votre accès numérique - lindependant.fr,Success,5,95,2026-01-29T21:24:01.568341,
1,https://eurosport.fr,Unknown,"Sport infos, vidéos & résultats en direct - Eurosport",Success,13,271,2026-02-04T12:49:46.032817,
1,https://voici.fr,Unknown,502 Bad Gateway,Success,8,101,2026-01-29T21:48:41.959399,
1,https://zalando.fr,Unknown,Online on Zalando,Success,45,404,2026-02-05T15:17:19.522142,
1,https://radiofrance.fr,Unknown,Radio France | Écoutez en ligne vos radios,Success,6,455,2026-02-05T15:21:53.922749,
1,https://lesechos.fr,Unknown,Mes informations | Mon compte | Les Echos,Success,21,207,2026-02-05T15:26:28.332024,
1,https://sudouest.fr,Unknown,,Failed,0,0,2026-02-05T15:39:50.480151,Connection timeout
1,https://lavoixdunord.fr,Unknown,Connexion | | Rossel Connect,Success,73,384,2026-02-02T12:43:30.761477,
1,https://cnews.fr,Unknown,Budget | CNEWS,Success,14,379,2026-02-02T12:47:41.341112,
1,https://planet-racing.fr,Unknown,Mon compte,Success,10,414,2026-02-05T17:02:13.892562,
1,https://bravis.fr,Unknown,Mon compte - Bravis immobilier,Success,3,167,2026-02-02T13:19:07.634885,
1,https://redonner.fr,Unknown,Heroku Verification,Success,11,112,2026-02-02T13:25:43.890611,
1,https://bravofly.fr,Unknown,Comparateur de vol et vols pas cher | Bravofly,Success,33,476,2026-02-05T17:07:13.472788,
1,https://megastar.fr,Unknown,"MEGASTAR, spécialiste des mots fléchés, mots mêlés, sudoku, coloriage, jeux pour enfants...",Success,18,208,2026-02-05T17:11:45.610843,
1,https://hmsw.fr,Unknown,Hostmyservers - Tableau de bord,Success,7,68,2026-02-03T00:22:07.127319,
1,https://mobilizon.fr,Unknown,Mobilizon,Success,2,165,2026-02-03T00:27:33.166678,
1,https://amazon.it,Unknown,"Amazon.it: consumer electronics, books, music, fashion, video games, DVDs and much more",Success,12,407,2026-04-28T23:38:33.070524,
1,https://lequipe.fr,Unknown,L'Équipe - L'actualité du sport en continu.,Success,9,604,2026-02-07T18:46:34.991450,
1,https://geo.fr,Unknown,"Magazine photo, Voyage, Environnement, Histoire et Sciences",Success,13,106,2026-05-04T19:29:11.551210,
1,https://femmeactuelle.fr,Unknown,"Femme Actuelle : votre magazine féminin mode, beauté, cuisine, minceur : Femme Actuelle Le MAG",Success,13,97,2026-05-04T19:34:26.503008,
